characters_araber;Araber
characters_butler;Butler
characters_direktor;Direktor
characters_ohi;Ohi
characters_wachmann;Wachmann
texts_a10_eingangsbereich_haupthalle_mo_leave_1;Aller dans le hall principal
sequences_a10_eingangsbereich_haupthalle_leave_1#1;[Ohi begins to walk down the big stairs.]
texts_a10_eingangsbereich_tuer_wachstube_mo_ex_1;Regarder dans la salle de sécurité
sequences_a10_eingangsbereich_tuer_wachstube_ex_1#1;[Ohio stands in the door, looking at the security station.]
spokentexts_a10_eingangsbereich_tuer_wachstube_ex_1_st_1;Le garde est toujours inconscient. Ce n'est pas très poli de le laisser ainsi mais je pense qu'il s'en remettra.
spokentexts_a10_eingangsbereich_tuer_wachstube_ex_2_st_1;Je me demande où sont les autres gardes. Hmm. Probablement inconscients eux aussi ailleurs dans le musée.
spokentexts_a10_eingangsbereich_tuer_wachstube_ex_2_st_2;La police s'occupera des gardes... et j'espère qu'elle vérifiera leur identité.
texts_a11_eingangsbereich_ausgang_mo_ex_1;Examiner la cloison en métal
spokentexts_a11_eingangsbereich_ausgang_ex_1_st_1;L'explosion s'est produite il y a quelques minutes. Je devrais entendre des sirènes d'un moment à l'autre.
spokentexts_a11_eingangsbereich_ausgang_ex_1_st_2;Once that happens, I won't be able to stop the constable and the director from opening the doors.
texts_a11_eingangsbereich_tor_schatzkammer_mo_ex_1;Examiner le tube en métal
texts_a11_eingangsbereich_tor_schatzkammer_mo_ex_2;Appeler l'Officier Oliver
spokentexts_a11_eingangsbereich_tor_schatzkammer_ex_2_st_1;L'officier pense que je suis en dessous de lui, dans la cave. Si je l'appelle d'ici, la surprise risque de le faire tomber dans le trou.
spokentexts_a11_eingangsbereich_tor_schatzkammer_ex_2_st_2;De plus, mieux vaut qu'il pense qu'il n'y a qu'une seule sortie et qu'elle est verrouillée. Cela me laisse plus de temps pour enquêter.
spokentexts_a11_eingangsbereich_tor_schatzkammer_ex_1_st_1;Je ne peux pas ouvrir la porte tout seul... et je ne veux pas de toute façon. J'ai mon propre accès à la cave.
sequences_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig#0;[Cut to the director, he's tired and desperate sitting there with his head hanging.]
sequences_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig#1;[Ohis feet comes into the picture. The director looks up and gasps.]
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_1_direction;scared
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_1;Ahh !
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_2_direction;perplexed
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_2;Que faites VOUS ici ? Vous étiez juste...
sequences_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig#4;[Cut back to the shot.]
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_3;J'ai trouvé une autre sortie.
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_4;L'Oeil ?
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_5;Disparu.
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_6;Le Corbeau a dynamité le sol de la salle au trésor. Il y a une cave cachée en dessous.
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_7_direction;anxious
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_7;Et... Et les autres trésors ?
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_8;Ce n'est pas beau à voir.
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_9_direction;weak, desperate
spokentexts_a11_eingangsbereich_seq_a11_eingangsbereich_oehi_direktor_erstmalig_st_9;Oh, oh non.
