characters_araber;Araber
characters_ermittler;Ermittler
characters_frau;Frau
characters_ohi;Ohi
characters_wachmann;Wachmann
texts_a15_frachtraum_gurt_mo_ex_1;Vérifier l'étagère
texts_a15_frachtraum_gurt_mo_inventar_1;Sangle
texts_a15_frachtraum_gurt_mo_inventar_2;Sangle avec couteau
texts_a15_frachtraum_gurt_mo_inventar_mit_gurt;Sangle avec tuyau
texts_a15_frachtraum_gurt_mo_take_1;Prenez la sangle
texts_a15_frachtraum_gurt_mo_used_mit_messer_2;Enfoncer le couteau à travers la sangle
texts_a15_frachtraum_gurt_mo_used_mit_rohr_1;Lier le tuyau et la sangle ensemble
texts_a15_frachtraum_gurt_mo_used_mit_messer_1;Couper la sangle 
sequences_a15_frachtraum_gurt_ex_1#1;[The Arab stretched one arm out as far as he can out of the chest and gropes around on the shelf and on the belt. Idle with his hand on the belt.]
spokentexts_a15_frachtraum_gurt_ex_1_st_1;Cela semble être une sangle maintenant quelque chose sur l'étagère située au-dessus du coffre.
spokentexts_a15_frachtraum_gurt_ex_1_st_2;Malheureusement, je ne peux pas atteindre le fermoir!
sequences_a15_frachtraum_gurt_ex_1#4;[The Arab withdrew his hand.]
spokentexts_a15_frachtraum_gurt_ex_2_st_1;Une sangle robuste avec un fermoir en métal.
spokentexts_a15_frachtraum_gurt_ex_3_st_1;J'ai poussé la plus longue lame du couteau à travers l'extremité de la sangle. Le couteau est coincé.
sequences_a15_frachtraum_gurt_take_1#1;[The Arab put his arm out of the chest, as far he can. Grabs the belt. He pulls twice, pulls his hand back then.]
spokentexts_a15_frachtraum_gurt_take_1_st_1;C'est attaché fermement et je ne peux pas atteindre le fermoir.
sequences_a15_frachtraum_gurt_used_mit_messer_1#1;[The Arab put his arm out of the chest, as far he can. In his hand he has the knife. He senses where he must cut and cut the belt then with the knife.]
sequences_a15_frachtraum_gurt_used_mit_messer_1#2;[He pulls his arm back, then grabs (now without the knife in his hand) to the belt and pulls it to him in the chest.]
sequences_a15_frachtraum_gurt_used_mit_messer_2#5;[The tube is bound off, and will appear in your inventory.]
spokentexts_a15_frachtraum_gurt_used_mit_messer_2_st_1;Hmm. Et bien - je vais entrainer la lame jusqu'à la fin de la sangle.
sequences_a15_frachtraum_gurt_used_mit_messer_2#6;[In the inventory appears the belt with the knife. The knife was inserted at the the belt.]
sequences_a15_frachtraum_gurt_used_mit_rohr_1#3;[The knife is pulled out and appear in your inventory.]
spokentexts_a15_frachtraum_gurt_used_mit_rohr_1_st_1_direction;Effort
spokentexts_a15_frachtraum_gurt_used_mit_rohr_1_st_1;Hmgh! Cela devrait tenir!
sequences_a15_frachtraum_gurt_used_mit_rohr_1#6;[In the inventory appears the belt with the firmly knotted tube.]
texts_a15_frachtraum_regal_mo_ex_1__2a__2b__3;Examiner la boîte
texts_a15_frachtraum_regal_mo_used_mit_gurt_1;Jetez une extremité de la sangle jusqu'à la boîte
texts_a15_frachtraum_regal_mo_used_mit_gurt_2__3;Essayer de pêcher quelquechose
spokentexts_a15_frachtraum_regal_ex_1_st_1;Cette chose là n'a pas l'air d'avoir été récemment chargé. Probablement une partie de l'inventaire du navire.
spokentexts_a15_frachtraum_regal_ex_2a_st_1;Des outils et des pièces de rechange, je dirais.
spokentexts_a15_frachtraum_regal_ex_2b_st_1;Il pourrait y avoir quelque chose dans cette boîte qui pourrait m'aider à m'évader du coffre.
spokentexts_a15_frachtraum_regal_ex_2b_st_2;Bien sûr, il serait plus utile si ce n'était pas hors de ma portée!
spokentexts_a15_frachtraum_regal_used_mit_gurt_3_st_2;On dirait que j'ai touché le jackpot sur ??mon premier essai. Il n'y a rien de plus à avoir.
spokentexts_a15_frachtraum_regal_used_mit_gurt_1_st_1;Le couteau n'est pas assez fermement coincé dans la sangle pour supporter un lancer.
spokentexts_a15_frachtraum_regal_used_mit_gurt_1_st_2;Je vais le sortir et re-tenter ma chance avec le fermoir en métal.
sequences_a15_frachtraum_regal_used_mit_gurt_1#5;[In the inventory appears again, the knife and the belt as individual objects.]
sequences_a15_frachtraum_regal_used_mit_gurt_1#6;[The Arab pulls out the belt, aims and throws over the end with the buckle. The buckle is falling in a wooden toolbox.]
spokentexts_a15_frachtraum_regal_used_mit_gurt_1_st_3;Brillant!
spokentexts_a15_frachtraum_regal_used_mit_gurt_1_st_4;Espérons que la boucle ne  glissera pas hors de la boîte quand je tirerais la sangle.
sequences_a15_frachtraum_regal_used_mit_gurt_1#9;[The Arab begins to pull gently. The closure rattles and threatens to jump out at any moment out of the box. However, the box moves slowly to the shelf edge ...]
sequences_a15_frachtraum_regal_used_mit_gurt_1#10;[Finally, she reached the edge. The box flips and crashes rattling and clattering to the ground. Box was filled with screws, sandpaper, some tabs, and other unnecessary stuff that is now spreading on the floor.]
sequences_a15_frachtraum_regal_used_mit_gurt_1#11;[But there is also a 40cm long metal tube (the one with which Ohi in Section 5 gets one over his head). It rolls on a shelf of the Arab and remains below the chest on the floor.]
sequences_a15_frachtraum_regal_used_mit_gurt_2#3;[In the inventory appears again, the knife and the belt as individual objects.]
sequences_a15_frachtraum_regal_used_mit_gurt_2#4;[The Arab pulls out the belt, aims and throws over the end with the buckle. He hits nothing. He has to pull the belt without booty back.]
spokentexts_a15_frachtraum_regal_used_mit_gurt_2_st_1_direction;angry, disappointed
spokentexts_a15_frachtraum_regal_used_mit_gurt_2_st_1;Hmpf.
spokentexts_a15_frachtraum_regal_used_mit_gurt_3_st_1;Cela ne sert à rien.
texts_a15_frachtraum_rohr_mo_ex_1;Examine le tuyau
texts_a15_frachtraum_rohr_mo_inventar_1__2;Tuyau
texts_a15_frachtraum_rohr_mo_take_1a__1b__2;Prend le tuyau
texts_a15_frachtraum_rohr_mo_used_mit_gurt_1-3;Sortez le tuyau
spokentexts_a15_frachtraum_rohr_ex_1_st_1;Le tuyau est enroulé contre l'étagère ... Mais il reste hors de portée.
spokentexts_a15_frachtraum_rohr_ex_2_st_1;Le tuyau semble être assez solide. Mais est-il suffisament resistant pour briser la boîte?
spokentexts_a15_frachtraum_rohr_ex_2_st_2;Pas d'espace, pas de point d'appui.
spokentexts_a15_frachtraum_rohr_ex_3_st_1;Je déteste la violence. Mais je dois sortir d'ici avant que l'on ne me découvre!
spokentexts_a15_frachtraum_rohr_take_1a_st_1;Je ne peux pas l'atteindre!
spokentexts_a15_frachtraum_rohr_take_1b_st_1;Pas de chance. Trop loin.
sequences_a15_frachtraum_rohr_take_2#1;[The Arab takes very carefully and quietly the tube. And is from then on with the tube in his hand.]
spokentexts_a15_frachtraum_rohr_used_mit_gurt_1_st_1;Comment est-ce censé fonctionner? La sangle ne se nouera pas autour du tuyau.
spokentexts_a15_frachtraum_rohr_used_mit_gurt_3_st_1;Hmm. Cela merite un essai...
sequences_a15_frachtraum_rohr_used_mit_gurt_3#2;[The Arab pulls out the belt including the knive and lets him down.]
sequences_a15_frachtraum_rohr_used_mit_gurt_3#3;[The Arab moves the belt gently back and forth until finally the knife tip disappears in the tube .]
sequences_a15_frachtraum_rohr_used_mit_gurt_3#5;[The Arab pulls gently on the belt. The tube is slowly getting up. Just when it is about to fall over, the Arab grabs it and bring it takes it with the belt to himself in the box.]
spokentexts_a15_frachtraum_rohr_used_mit_gurt_3_st_2_direction;Contend de lui
spokentexts_a15_frachtraum_rohr_used_mit_gurt_3_st_2;Tada!
texts_a15_frachtraum_traeger_mo_ex_1__2;Examiner le tuyau métallique
texts_a15_frachtraum_traeger_mo_used_mit_gurt_1;Jeter la sangle avec les tuyaux
texts_a15_frachtraum_traeger_mo_used_mit_gurt_2;Jeter la sangle avec le tuyau dans les tuyaux
spokentexts_a15_frachtraum_traeger_ex_1_st_1;Deux tuyaux métalliques. Stable, sur environ dix mètres.
spokentexts_a15_frachtraum_traeger_ex_2_st_1;Le bateau fait son âge, mais ces tuyaux sont encore suffisament solides !
spokentexts_a15_frachtraum_traeger_used_mit_gurt_1_st_1;Et puis il va simplement s'attacher autour des tuyaux? Cela n'arrivera pas.
spokentexts_a15_frachtraum_traeger_used_mit_gurt_1_st_2;Même si le couteau était resté, en tirant dessus il n'aurait pas résisté  .
spokentexts_a15_frachtraum_traeger_used_mit_gurt_2_st_1_direction;concentrates, makes himself courage
spokentexts_a15_frachtraum_traeger_used_mit_gurt_2_st_1;Ma  meilleure chance...
sequences_a15_frachtraum_traeger_used_mit_gurt_2#2;[The Arab pulls out the strap together with the bounded Tube. Then he throws the tube at the center between the two carriers.]
sequences_a15_frachtraum_traeger_used_mit_gurt_2#3;[The Arab slowly pulls the strap until the tube is wedged horizontally behind the beams.]
spokentexts_a15_frachtraum_traeger_used_mit_gurt_2_st_2;Stable comme un roc!
sequences_a15_frachtraum_traeger_used_mit_gurt_2#5;[The cargo hatches are starting to close. It's getting darker.]
spokentexts_a15_frachtraum_traeger_used_mit_gurt_2_st_3;Et pas une seconde trop tôt, il semble!
